nombre,Num. Recibos personalidad F,Num. Recibos personalidad J,Num.Recibos sin personalidad,Num.Recibos Almacen-Estacionamiento,Num. Recibos Actv. Comercial,Num. Recibos Actv. Cultural,Num. Recibos Actv. Deportiva,Num.Recibos Actv.Edificio singular,Num. Recibos Actv. Espectaculos,Num. Recibos Actv. Industrial,Num.Recibos Actv.Obras Urbanizacion,Num.Recibos Actv.Ocio y Hostaleria,Num. Recibos Actv. Oficinas,Num. Recibos Actv. Religiosas,Num. Recibos Actv. Residencial,Num.Recibos Actv.Sanidad y Beneficiencia,Num. Recibos totales,Importe Recibos personalidad F,Importe Recibos personalidad J,Importe Recibos sin personalidad,Imp.Recibos Actv.Almacen-Estacionamiento,Imp. Recibos Actv. Comercial,Imp. Recibos Actv. Cultural,Imp. Recibos Actv. Deportiva,Imp.Recibos Actv.Edificio singular,Imp. Recibos Actv. Espectaculos,Imp. Recibos Actv. Industrial,Imp.Recibos Actv.Obras urbanizacion,Imp.Recibos Actv.Ocio y Hosteleria,Imp. Recibos Actv. Oficinas,Imp. Recibos Actv. Religiosas,Imp. Recibos Actv. Residencial,Imp.Recibos Actv.Sanidad y Beneficiencia,Importe Recibos totales
ALGIROS,29925.0,3073.0,108.0,10423.0,1847.0,64.0,18.0,3.0,2.0,52.0,50.0,5.0,146.0,11.0,20461.0,24.0,33106.0,7682931.53,1143879.32,109524.81,584493.15,898431.51,174460.66,33291.66,18763.97,5261.78,53149.46,15885.46,9704.62,123607.54,405.72,6970599.16,48280.97,8936335.66
BENICALAP,33307.0,4134.0,87.0,13417.0,1403.0,131.0,23.0,8.0,2.0,310.0,165.0,19.0,123.0,13.0,21890.0,24.0,37528.0,7040950.17,2250822.52,67208.9,780417.2100000001,857992.0,27289.37,12871.27,10984.54,1035.42,206108.88,129287.42,734785.3600000001,152597.47,11459.32,6396145.4,38007.93,9358981.59
BENIMACLET,23258.0,1941.0,70.0,7797.0,1688.0,20.0,6.0,4.0,4.0,75.0,128.0,7.0,125.0,9.0,15395.0,11.0,25269.0,5694801.48,876109.66,65455.53,478904.76,708514.59,25047.73,70513.62000000001,15297.86,890.03,55833.43,46524.380000000005,17333.01,227877.06,0.0,4974183.8100000005,15446.39,6636366.67
CAMINS AL GRAU,50458.0,5734.0,112.0,21142.0,2452.0,41.0,16.0,0.0,13.0,191.0,129.0,34.0,303.0,15.0,31943.0,25.0,56304.0,12174763.32,5985903.61,176365.46,1417302.32,3536058.8099999996,56483.71,82774.02,0.0,8220.32,229969.16,166576.34,1220186.23,283965.5,1478.64,11210004.97,124012.37,18337032.39
CAMPANAR,32851.0,3958.0,150.0,16054.0,1601.0,25.0,10.0,9.0,1.0,106.0,114.0,7.0,292.0,8.0,18706.0,26.0,36959.0,8428860.94,7015427.84,136789.6,1441600.1099999999,3367353.5199999996,78561.56,15973.12,376296.02,0.0,315235.65,86965.02,327528.74,719864.52,2647.91,7555779.17,1293273.04,15581078.38
CIUTAT VELLA,25915.0,10243.0,309.0,10508.0,3468.0,91.0,4.0,92.0,15.0,203.0,325.0,242.0,2067.0,42.0,19380.0,30.0,36467.0,9873951.17,11858631.64,416023.63,1214982.26,5482266.93,188040.68,2486.45,545316.13,172597.72999999998,98032.18,83821.05,979856.49,3955671.9699999997,9787.42,9274683.59,141063.56,22148606.439999998
EL PLA DEL REAL,25288.0,4148.0,1009.0,12553.0,1175.0,45.0,12.0,6.0,1.0,92.0,27.0,23.0,777.0,11.0,15714.0,9.0,30445.0,10329997.899999999,4789755.6,400088.16,1204738.93,1183554.3800000001,156889.76,268418.19,205502.0,0.0,97781.07,57038.33,570823.65,1983989.3,8565.57,9584081.44,198459.04,15519841.66
EXTRAMURS,40837.0,5498.0,161.0,14936.0,2913.0,63.0,8.0,5.0,1.0,142.0,55.0,79.0,588.0,17.0,27651.0,38.0,46496.0,13266997.68,3765943.09,352227.38,1283367.4600000002,2421765.72,54380.74,11322.95,326220.54000000004,1643.01,116489.98000000001,72877.2,139809.84999999998,1267741.67,1517.77,11612430.68,75600.58,17385168.15
JESUS,37127.0,2470.0,131.0,11846.0,2224.0,80.0,20.0,35.0,3.0,222.0,227.0,7.0,112.0,9.0,24931.0,12.0,39728.0,7884772.140000001,1275540.8,87796.66,660573.87,1033211.98,47335.759999999995,13525.44,70025.87,4752.49,169579.82,157715.55000000002,10107.89,183867.66,6460.72,6780465.7700000005,110486.78,9248109.6
L'EIXAMPLE,36972.0,6768.0,337.0,14221.0,3314.0,96.0,17.0,5.0,7.0,228.0,81.0,69.0,760.0,30.0,25202.0,47.0,44077.0,15132324.879999999,7182306.94,243819.56,1853840.45,4369204.15,137583.86000000002,53235.69,107748.78,59115.91,112985.68,34968.0,224275.47,2284825.71,6134.09,13222830.59,91703.0,22558451.38
L'OLIVERETA,31373.0,2461.0,43.0,7976.0,1369.0,49.0,8.0,11.0,2.0,146.0,254.0,7.0,141.0,22.0,23867.0,25.0,33877.0,6596051.33,2312963.1,47026.32,628333.11,650872.11,19856.09,69732.34999999999,942878.29,8090.21,172257.83000000002,52909.5,6335.05,178259.72,6669.889999999999,5898297.96,321548.64,8956040.75
LA SAIDIA,35922.0,3255.0,163.0,12176.0,2360.0,56.0,56.0,1.0,1.0,190.0,201.0,18.0,171.0,13.0,24071.0,26.0,39340.0,7403461.79,1460740.8699999999,91120.67,767613.28,1045112.7,68457.02,229481.83000000002,6607.53,0.0,95018.8,53709.92,19827.49,163933.05000000002,1832.17,6453812.33,49917.21000000001,8955323.33
PATRAIX,44786.0,3815.0,77.0,17732.0,2327.0,32.0,8.0,3.0,0.0,383.0,254.0,12.0,771.0,15.0,27131.0,10.0,48678.0,10535836.73,2661897.69,87359.48,950041.0,1457703.3599999999,43015.28,26776.82,10869.94,0.0,1035252.94,260565.35,11169.0,546657.09,13993.449999999999,8831762.1,97287.57,13285093.9
POBLATS MARITIMS,37481.0,5319.0,89.0,9006.0,1900.0,93.0,17.0,14.0,27.0,600.0,716.0,92.0,358.0,19.0,30014.0,33.0,42889.0,7484849.25,2194980.76,45930.05,548177.61,660463.69,115419.58,19750.65,33864.4,32379.239999999998,244219.54,348491.48,415213.01,349425.18,1795.16,6843333.800000001,113226.72,9725760.059999999
POBLES DE L'OEST,9462.0,1414.0,15.0,2369.0,425.0,10.0,5.0,1.0,1.0,333.0,534.0,15.0,151.0,5.0,7038.0,4.0,10891.0,2166383.44,918482.69,20529.02,217733.77000000002,233318.93,4323.0599999999995,13680.31,0.0,93.88,97949.52,93405.91,395752.69999999995,123916.5,0.0,1918450.1400000001,6770.43,3105395.15
POBLES DEL NORD,4438.0,287.0,11.0,651.0,91.0,4.0,9.0,10.0,0.0,172.0,208.0,3.0,17.0,8.0,3560.0,3.0,4736.0,1548456.74,192395.08000000002,11780.65,76644.29,27569.940000000002,193.93,1922.14,2944.78,0.0,133351.71,97456.13,2703.28,9520.39,0.0,1400149.48,176.4,1752632.4700000002
POBLES DEL SUD,20051.0,1806.0,62.0,4158.0,568.0,24.0,41.0,12.0,7.0,598.0,620.0,54.0,31.0,12.0,15785.0,9.0,21919.0,5431922.29,1549846.81,75954.19,331513.89,352909.68,28002.41,220186.99,19337.91,27083.1,715622.94,329891.66000000003,103822.61,116529.19,341.15,4808270.13,4211.63,7057723.29
QUATRE CARRERES,54216.0,5132.0,430.0,18878.0,2056.0,55.0,25.0,9.0,5.0,544.0,676.0,33.0,388.0,28.0,37052.0,29.0,59778.0,12477552.05,9647423.42,147771.72999999998,1263761.31,1742931.3,659134.47,467472.32,1206041.92,1443405.6099999999,526639.8200000001,631215.78,350387.04000000004,912268.48,13937.1,11195558.14,1859993.9100000001,22272747.2
RASCANYA,37088.0,3195.0,77.0,13702.0,1593.0,82.0,13.0,4.0,5.0,286.0,178.0,9.0,267.0,11.0,24192.0,18.0,40360.0,7520248.4399999995,1856888.88,59957.26,779461.8999999999,1259986.24,28634.66,296211.72000000003,29263.23,16730.11,111572.24,82419.12,3732.1000000000004,163725.59,3995.7,6632843.65,28518.32,9437094.58
