"Año";"Periodo";"Comunidad Valenciana﻿ ";"España"
"2007";"Enero";"1.510,8";"1.771,34"
"2007";"Febrero";"1.451,73";"1.715,02"
"2007";"Marzo";"1.482,35";"1.778,21"
"2007";"Abril";"1.532,79";"1.773,54"
"2007";"Mayo";"1.534,14";"1.806,79"
"2007";"Junio";"1.604,95";"1.849,96"
"2007";"Julio";"1.622,47";"1.886,68"
"2007";"Agosto";"1.568,12";"1.661,57"
"2007";"Septiembre";"1.651,76";"1.800,59"
"2007";"Octubre";"1.620,66";"1.784,15"
"2007";"Noviembre";"1.629,59";"1.800,89"
"2007";"Diciembre";"1.735,49";"1.852,1"
"2008";"Enero";"1.596,55";"1.790,49"
"2008";"Febrero";"1.654,8";"1.758,3"
"2008";"Marzo";"1.648,57";"1.788,8"
"2008";"Abril";"1.658,35";"1.791,67"
"2008";"Mayo";"1.617,6";"1.765,94"
"2008";"Junio";"1.669,4";"1.806,51"
"2008";"Julio";"1.638,37";"1.799,46"
"2008";"Agosto";"1.669,1";"1.648,27"
"2008";"Septiembre";"1.756,56";"1.744,49"
"2008";"Octubre";"1.591,14";"1.765,74"
"2008";"Noviembre";"1.572,42";"1.687,57"
"2008";"Diciembre";"1.642,85";"1.755,27"
"2009";"Enero";"1.492,83";"1.708,89"
"2009";"Febrero";"1.479,51";"1.677,76"
"2009";"Marzo";"1.506,98";"1.699,88"
"2009";"Abril";"1.538,35";"1.698,65"
"2009";"Mayo";"1.520,91";"1.698,04"
"2009";"Junio";"1.572,21";"1.704,48"
"2009";"Julio";"1.498,48";"1.719,54"
"2009";"Agosto";"1.461,1";"1.570,93"
"2009";"Septiembre";"1.520,53";"1.709,41"
"2009";"Octubre";"1.445,58";"1.654,49"
"2009";"Noviembre";"1.451,12";"1.674,7"
"2009";"Diciembre";"1.447,67";"1.733,15"
"2010";"Enero";"1.407,51";"1.701,22"
"2010";"Febrero";"1.599,67";"1.687,45"
"2010";"Marzo";"1.460,46";"1.668,2"
"2010";"Abril";"1.408,29";"1.678,72"
"2010";"Mayo";"1.439,29";"1.675,8"
"2010";"Junio";"1.529,44";"1.750,51"
"2010";"Julio";"1.427,7";"1.636,3"
"2010";"Agosto";"1.364,95";"1.484,71"
"2010";"Septiembre";"1.349,67";"1.607,28"
"2010";"Octubre";"1.439,66";"1.606,9"
"2010";"Noviembre";"1.394,27";"1.607,69"
"2010";"Diciembre";"1.389,16";"1.657,6"
"2011";"Enero";"1.415,9";"1.589,82"
"2011";"Febrero";"1.271,96";"1.515,44"
"2011";"Marzo";"1.327,8";"1.586,05"
"2011";"Abril";"1.282,87";"1.602,62"
"2011";"Mayo";"1.301,52";"1.522,65"
"2011";"Junio";"1.336,35";"1.540,6"
"2011";"Julio";"1.312,33";"1.575,97"
"2011";"Agosto";"1.139,64";"1.444,06"
"2011";"Septiembre";"1.270,48";"1.500,99"
"2011";"Octubre";"1.185,25";"1.432"
"2011";"Noviembre";"1.188,71";"1.453,04"
"2011";"Diciembre";"1.217,94";"1.619,07"
"2012";"Enero";"1.092,5";"1.349,22"
"2012";"Febrero";"1.353,3";"1.431,61"
"2012";"Marzo";"1.147,25";"1.356,54"
"2012";"Abril";"1.121,33";"1.363,87"
"2012";"Mayo";"1.115,87";"1.343,72"
"2012";"Junio";"1.207,83";"1.413,27"
"2012";"Julio";"1.208,35";"1.437,51"
"2012";"Agosto";"1.041,08";"1.210,53"
"2012";"Septiembre";"1.142,3";"1.362"
"2012";"Octubre";"1.156,62";"1.345,8"
"2012";"Noviembre";"1.051,36";"1.298,78"
"2012";"Diciembre";"1.145,05";"1.388,53"
"2013";"Enero";"946,14";"1.187,89"
"2013";"Febrero";"1.010,26";"1.181,25"
"2013";"Marzo";"1.037,7";"1.311,66"
"2013";"Abril";"1.043,27";"1.208,21"
"2013";"Mayo";"951,79";"1.256,21"
"2013";"Junio";"964,11";"1.286,78"
"2013";"Julio";"979,58";"1.300,88"
"2013";"Agosto";"989,31";"1.215,54"
"2013";"Septiembre";"987,3";"1.223,42"
"2013";"Octubre";"1.033,04";"1.269,13"
"2013";"Noviembre";"1.011,36";"1.212,81"
"2013";"Diciembre";"949,18";"1.268,71"
"2014";"Enero";"976,93";"1.312,64"
"2014";"Febrero";"957,04";"1.230,12"
"2014";"Marzo";"1.102,75";"1.298,75"
"2014";"Abril";"987,19";"1.236,61"
"2014";"Mayo";"967,77";"1.257,8"
"2014";"Junio";"982,94";"1.263,14"
"2014";"Julio";"962,74";"1.277,4"
"2014";"Agosto";"989,59";"1.166,11"
"2014";"Septiembre";"1.014,15";"1.222,02"
"2014";"Octubre";"954,02";"1.229,83"
"2014";"Noviembre";"963,3";"1.232,74"
"2014";"Diciembre";"1.023,55";"1.273,91"
"2015";"Enero";"1.039,92";"1.277,72"
"2015";"Febrero";"963,52";"1.225,57"
"2015";"Marzo";"947,84";"1.236,56"
"2015";"Abril";"1.245,24";"1.307,98"
"2015";"Mayo";"984,22";"1.280,53"
"2015";"Junio";"1.014,9";"1.315,2"
"2015";"Julio";"1.048,47";"1.320,46"
"2015";"Agosto";"1.012,89";"1.163,08"
"2015";"Septiembre";"1.030,41";"1.281,1"
"2015";"Octubre";"987,32";"1.255,89"
"2015";"Noviembre";"989,3";"1.281,94"
"2015";"Diciembre";"1.028,5";"1.312,71"
"2016";"Enero";"1.039,74";"1.331,29"
"2016";"Febrero";"981,45";"1.273,03"
"2016";"Marzo";"985,84";"1.294,32"
"2016";"Abril";"995,17";"1.304,66"
"2016";"Mayo";"1.023,09";"1.313,93"
"2016";"Junio";"1.027,32";"1.339,38"
"2016";"Julio";"1.012,62";"1.340,07"
"2016";"Agosto";"981,02";"1.156,16"
"2016";"Septiembre";"1.050,26";"1.300,03"
"2016";"Octubre";"1.039,98";"1.341,26"
"2016";"Noviembre";"985,04";"1.299,7"
"2016";"Diciembre";"987,12";"1.357,73"
"2017";"Enero";"1.026,86";"1.368,55"
"2017";"Febrero";"1.066,47";"1.349,41"
"2017";"Marzo";"1.007,56";"1.346,95"
"2017";"Abril";"1.013,37";"1.411,97"
"2017";"Mayo";"1.013,53";"1.363,87"
"2017";"Junio";"1.020,78";"1.395,38"
"2017";"Julio";"1.036,71";"1.440,58"
"2017";"Agosto";"990,21";"1.225,26"
"2017";"Septiembre";"1.047,89";"1.393,53"
"2017";"Octubre";"1.039,27";"1.371,99"
"2017";"Noviembre";"1.056,21";"1.356,08"
"2017";"Diciembre";"1.024,44";"1.380,63"
"2018";"Enero";"1.040,38";"1.388,17"
"2018";"Febrero";"1.044,29";"1.363,29"
"2018";"Marzo";"1.024,31";"1.364,94"
"2018";"Abril";"1.044,37";"1.431,43"
"2018";"Mayo";"1.058,19";"1.386,2"
"2018";"Junio";"1.100,96";"1.421,42"
"2018";"Julio";"1.103,87";"1.468"
"2018";"Agosto";"1.062,81";"1.284,31"
"2018";"Septiembre";"1.111,4";"1.458,41"
"2018";"Octubre";"1.068,74";"1.396,47"
"2018";"Noviembre";"1.039,39";"1.411,77"
"2018";"Diciembre";"1.095,89";"1.458,47"
"2019";"Enero";"1.141,77";"1.452,43"
"2019";"Febrero";"1.033,16";"1.386,39"
"2019";"Marzo";"1.071,25";"1.427,06"
"2019";"Abril";"1.084,38";"1.417,99"
"2019";"Mayo";"1.124,19";"1.408,33"
"2019";"Junio";"1.165,8";"1.449,7"
"2019";"Julio";"1.146,48";"1.519,39"
"2019";"Agosto";"1.092,56";"1.370,26"
"2019";"Septiembre";"1.144,17";"1.458,43"
"2019";"Octubre";"1.126,01";"1.427,42"
"2019";"Noviembre";"1.180,24";"1.444,52"
"2019";"Diciembre";"1.126,49";"1.478,01"
"2020";"Enero";"1.161,56";"1.492,84"
"2020";"Febrero";"1.102,44";"1.439,09"
"2020";"Marzo";"1.097,87";"1.451,93"
"2020";"Abril";"1.096,32";"1.513,19"
"2020";"Mayo";"1.054,49";"1.482,59"
"2020";"Junio";"1.059,07";"1.439,29"
"2020";"Julio";"1.152,9";"1.443,68"
"2020";"Agosto";"1.086,87";"1.294"
"2020";"Septiembre";"1.108,4";"1.374"
"2020";"Octubre";"1.121,11";"1.377"
"2020";"Noviembre";"1.079,66";"1.398"
"2020";"Diciembre";"1.130,39";"1.463"
"2021";"Enero";"1.121,59";"1.497"
"2021";"Febrero";"1.081,11";"1.428"
"2021";"Marzo";"1.104,5";"1.449"
"2021";"Abril";"1.121,6";"1.479"
"2021";"Mayo";"1.127,36";"1.490"
"2021";"Junio";"1.177,74";"1.533,11"
"2021";"Julio";"1.212,72";"1.579,11"
"2021";"Agosto";"1.178,64";"1.430,9"
"2021";"Septiembre";"1.212,66";"1.539,56"
"2021";"Octubre";"1.231,07";"1.527,16"
"2021";"Noviembre";"1.229,36";"1.551"
"2021";"Diciembre";"1.194,73";"1.582"
"2022";"Enero";"1.289,51";"1.651"
"2022";"Febrero";"1.262,71";"1.578"
"2022";"Marzo";"1.247,15";"1.622"
"2022";"Abril";"1.260,23";"1.607"
"2022";"Mayo";"1.252,22";"1.604"
"2022";"Junio";"1.303,81";"1.644"
"2022";"Julio";"1.327,23";"1.695"
"2022";"Agosto";"1.294,18";"1.498"
"2022";"Septiembre";"1.340,02";"1.660"
"2022";"Octubre";"1.320,57";"1.605"
"2022";"Noviembre";"1.266,06";"1.570"
"2022";"Diciembre";"1.265";"1.594"
"2023";"Enero";"1.312";"1.627"
"2023";"Febrero";"1.303";"1.582"
"2023";"Marzo";"1.326";"1.580"
"2023";"Abril";"1.370";"1.622"
"2023";"Mayo";"1.317";"1.616"
"2023";"Junio";"1.372";"1.622"
"2023";"Julio";"1.392";"1.617"
"2023";"Agosto";"1.407";"1.526"
"2023";"Septiembre";"1.410";"1.643"
"2023";"Octubre";"1.381";"1.644"
"2023";"Noviembre";"1.328";"1.623"
"2023";"Diciembre";"1.362";"1.687"
"2024";"Enero";"1.405";"1.706"
"2024";"Febrero";"1.401";"1.649"
;;;
;;;
"Métrica":"Comunidad Valenciana﻿ "
"Fuente":"Consejo General del Notariado"
"Clasificación":""
"Unidad":"Euros / metro cuadrado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"España"
"Fuente":"Consejo General del Notariado"
"Clasificación":""
"Unidad":"Euros / metro cuadrado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/comparacion-precio-medio-viviendas-comunidad-conjunto-espana/f7794d25-755b-4e1a-80bb-ac981cdc1272/comunidad-valenciana/299"
"Titulo":"Comparación del precio medio de las viviendas en Comunidad Valenciana con el conjunto de España "
"Subtitulo":""
