"DateTime","Préstamos y créditos (TAE)","Depósitos (TEDR)"
"2003-01",4.86,1.58
"2003-02",4.76,1.51
"2003-03",4.58,1.43
"2003-04",4.54,1.34
"2003-05",4.46,1.33
"2003-06",4.28,1.19
"2003-07",4.11,1.15
"2003-08",4.24,1.14
"2003-09",4.19,1.12
"2003-10",4.17,1.11
"2003-11",4.13,1.12
"2003-12",4.09,1.13
"2004-01",4.14,1.15
"2004-02",4.08,1.15
"2004-03",3.95,1.12
"2004-04",3.98,1.13
"2004-05",3.9,1.11
"2004-06",3.85,1.12
"2004-07",3.88,1.13
"2004-08",3.97,1.15
"2004-09",3.98,1.14
"2004-10",3.95,1.19
"2004-11",3.95,1.18
"2004-12",3.87,1.17
"2005-01",3.94,1.16
"2005-02",3.83,1.16
"2005-03",3.89,1.15
"2005-04",3.89,1.15
"2005-05",3.89,1.14
"2005-06",3.78,1.13
"2005-07",3.74,1.12
"2005-08",3.84,1.16
"2005-09",3.79,1.15
"2005-10",3.8,1.15
"2005-11",3.84,1.2
"2005-12",3.93,1.26
"2006-01",4.1,1.31
"2006-02",4.14,1.31
"2006-03",4.23,1.39
"2006-04",4.33,1.41
"2006-05",4.42,1.43
"2006-06",4.52,1.47
"2006-07",4.61,1.57
"2006-08",4.82,1.64
"2006-09",4.84,1.65
"2006-10",4.98,1.76
"2006-11",5.01,1.8
"2006-12",5.1,1.85
"2007-01",5.22,1.96
"2007-02",5.29,2
"2007-03",5.38,2.1
"2007-04",5.43,2.18
"2007-05",5.48,2.19
"2007-06",5.59,2.23
"2007-07",5.63,2.32
"2007-08",5.85,2.42
"2007-09",6,2.54
"2007-10",5.97,2.68
"2007-11",6.03,2.69
"2007-12",6.03,2.77
"2008-01",5.99,2.87
"2008-02",5.98,2.89
"2008-03",5.94,2.83
"2008-04",6,2.96
"2008-05",6.13,2.97
"2008-06",6.17,3.04
"2008-07",6.36,3.16
"2008-08",6.55,3.19
"2008-09",6.56,3.22
"2008-10",6.56,3.35
"2008-11",6.31,3.01
"2008-12",5.7,2.72
"2009-01",5.02,2.25
"2009-02",4.5,2.01
"2009-03",4.19,1.77
"2009-04",3.87,1.58
"2009-05",3.84,1.49
"2009-06",3.74,1.41
"2009-07",3.65,1.4
"2009-08",3.56,1.36
"2009-09",3.55,1.25
"2009-10",3.44,1.26
"2009-11",3.39,1.31
"2009-12",3.32,1.28
"2010-01",3.32,1.24
"2010-02",3.29,1.18
"2010-03",3.27,1.3
"2010-04",3.22,1.36
"2010-05",3.16,1.3
"2010-06",3.15,1.37
"2010-07",3.22,1.51
"2010-08",3.32,1.46
"2010-09",3.31,1.61
"2010-10",3.49,1.63
"2010-11",3.38,1.65
"2010-12",3.4,1.6
"2011-01",3.64,1.59
"2011-02",3.87,1.57
"2011-03",3.89,1.6
"2011-04",4.09,1.64
"2011-05",4.07,1.71
"2011-06",3.96,1.72
"2011-07",4.19,1.65
"2011-08",4.26,1.57
"2011-09",4.23,1.65
"2011-10",4.33,1.64
"2011-11",4.23,1.65
"2011-12",4.27,1.63
"2012-01",4.2,1.61
"2012-02",4.3,1.57
"2012-03",4.17,1.49
"2012-04",4.25,1.4
"2012-05",4.27,1.33
"2012-06",4.08,1.34
"2012-07",4.03,1.4
"2012-08",4.01,1.41
"2012-09",3.87,1.59
"2012-10",3.89,1.61
"2012-11",3.83,1.64
"2012-12",3.76,1.6
"2013-01",4,1.39
"2013-02",4.08,1.16
"2013-03",4.01,1.13
"2013-04",4.16,1.16
"2013-05",4.22,1.17
"2013-06",3.91,1.02
"2013-07",4.14,1.05
"2013-08",4.14,1.01
"2013-09",3.88,1.02
"2013-10",4.14,1.03
"2013-11",4.2,0.94
"2013-12",3.84,0.9
"2014-01",4.07,0.87
"2014-02",4.08,0.82
"2014-03",4.06,0.75
"2014-04",4.07,0.71
"2014-05",4,0.67
"2014-06",3.94,0.61
"2014-07",3.89,0.58
"2014-08",3.93,0.54
"2014-09",3.88,0.5
"2014-10",3.81,0.47
"2014-11",3.59,0.42
"2014-12",2.82,0.41
"2015-01",3.38,0.4
"2015-02",3.2,0.35
"2015-03",2.92,0.33
"2015-04",3.09,0.3
"2015-05",2.95,0.29
"2015-06",2.89,0.28
"2015-07",2.81,0.27
"2015-08",2.76,0.25
"2015-09",2.86,0.25
"2015-10",2.88,0.25
"2015-11",2.85,0.24
"2015-12",2.66,0.24
"2016-01",2.92,0.22
"2016-02",2.64,0.21
"2016-03",2.73,0.21
"2016-04",2.86,0.18
"2016-05",2.65,0.16
"2016-06",2.48,0.16
"2016-07",2.7,0.14
"2016-08",2.54,0.12
"2016-09",2.65,0.11
"2016-10",2.74,0.1
"2016-11",2.63,0.11
"2016-12",2.43,0.09
"2017-01",2.7,0.09
"2017-02",2.51,0.09
"2017-03",2.52,0.09
"2017-04",2.7,0.08
"2017-05",2.56,0.08
"2017-06",2.45,0.07
"2017-07",2.57,0.08
"2017-08",2.52,0.08
"2017-09",2.52,0.07
"2017-10",2.73,0.08
"2017-11",2.54,0.07
"2017-12",2.29,0.06
"2018-01",2.33,0.06
"2018-02",2.4,0.06
"2018-03",2.34,0.06
"2018-04",2.47,0.06
"2018-05",2.31,0.06
"2018-06",2.3,0.06
"2018-07",2.4,0.05
"2018-08",2.39,0.05
"2018-09",2.34,0.05
"2018-10",2.47,0.05
"2018-11",2.5,0.06
"2018-12",2.21,0.06
"2019-01",2.45,0.04
"2019-02",2.39,0.04
"2019-03",2.43,0.04
"2019-04",2.56,0.04
"2019-05",2.34,0.05
"2019-06",2.15,0.04
"2019-07",2.47,0.04
"2019-08",2.27,0.04
"2019-09",2.29,0.04
"2019-10",2.54,0.04
"2019-11",2.26,0.04
"2019-12",1.94,0.05
"2020-01",2.56,0.03
"2020-02",2.29,0.01
"2020-03",1.91,0.01
"2020-04",1.89,0.01
"2020-05",2.05,0.01
"2020-06",2.03,0.01
"2020-07",2.39,0.01
"2020-08",2.27,0.01
"2020-09",2.16,0
"2020-10",2.36,0
"2020-11",2.12,0.01
"2020-12",2,0.01
"2021-01",2.32,0
"2021-02",2.09,0.01
"2021-03",2.04,0.02
"2021-04",2.38,0.02
"2021-05",2.12,0.02
"2021-06",2.01,0.03
"2021-07",2.29,0.02
"2021-08",2.11,0.02
"2021-09",2.03,0.02
"2021-10",2.28,0.02
"2021-11",1.96,0.02
"2021-12",1.67,0.03
"2022-01",2.14,0.01
"2022-02",1.75,0.02
"2022-03",1.77,0.02
"2022-04",1.96,0.02
"2022-05",1.94,0.02
"2022-06",2.08,0.03
"2022-07",2.37,0.03
"2022-08",2.28,0.03
"2022-09",2.88,0.06
"2022-10",3.63,0.07
"2022-11",3.65,0.11
"2022-12",3.86,0.13
"2023-01",4.44,0.15
"2023-02",4.53,0.2
"2023-03",4.61,0.27
"2023-04",5.08,0.31
"2023-05",4.99,0.35
"2023-06",5.08,0.43
"2023-07",5.48,0.47
"2023-08",5.44,0.49
"2023-09",5.4,0.53
"2023-10",5.74,0.59
"2023-11",5.43,0.63
"2023-12",5.37,0.67
"2024-01",5.57,0.68
"2024-02",5.25,0.67